ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1130,N8,N8,5050,VIKAS,32 MA,1
1130,N8,N8,5052,SHRINIWASA,32 MA,2
1130,N8,N8,5052,SWASTIK,32 MA,1
1130,N8,N8,5053,SHRINIWASA,32 MA,3
1130,N8,N8,5053,SWASTIK,32 MA,2
1130,N8,N8,5054,SHREE SHYAM,32 MA,1
1130,N8,N8,5054,SHRINIWASA,32 MA,2
1130,N8,N8,5055,SHREE SHYAM,32 MA,2
1130,N8,N8,5055,SHRINIWASA,32 MA,2
1130,N8,N8,5061,LG BROTHERS,32 MA,1
1130,N8,N8,5061,SHREE SHYAM,32 MA,1
1130,N8,N8,5061,SHRINIWASA,32 MA,3
1130,N8,N8,5251,RCI,32 MA,1
1130,N8,N8,5251,SHREE SHYAM,32 MA,1
1130,N8,N8,5252,LG BROTHERS,32 MA,2
1130,N8,N8,5252,SHREE SHYAM,32 MA,3
1130,N8,N8,5252,SHRINIWASA,32 MA,1
1130,N8,N8,5301,AVG,32 MA,1
1130,N8,N8,5301,CORE,32 MA,2
1130,N8,N8,5301,DBRC,32 MA,2
1130,N8,N8,5301,DGFC,32 MA,1
1130,N8,N8,5301,DRS,32 MA,3
1130,N8,N8,5301,INDOARYA,32 MA,1
1130,N8,N8,5301,LG BROTHERS,32 MA,2
1130,N8,N8,5301,RCI,32 MA,2
1130,N8,N8,5303,LG BROTHERS,32 MA,2
1130,N8,N8,5303,SHRINIWASA,32 MA,1
1130,N8,N8,5305,DRS,32 MA,1
1130,N8,N8,5305,INDOARYA,32 MA,1
1130,N8,N8,5305,LG BROTHERS,32 MA,2
1130,N8,N8,5305,RCI,32 MA,1
1130,N8,N8,5305,SHRINIWASA,32 MA,1
1130,N8,N8,5305,VIKAS,32 MA,1
1130,N8,N8,5306,LG BROTHERS,32 MA,1
1130,N8,N8,5306,VIKAS,32 MA,1
1130,N8,N8,5307,SHRINIWASA,32 MA,1
1130,N8,N8,5309,DRS,32 MA,1
1130,N8,N8,5309,INDOARYA,32 MA,1
1130,N8,N8,5309,VIKAS,32 MA,1
