ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1170,1170,S,S,18 FT,8257,1
1170,1170,S,S,18 FT,8261,2
1170,1170,S,S,18 FT,8300,1
1170,1170,S,S,18 FT,8301,1
1170,1170,S,S,18 FT,8302,1
1170,1170,S,S,18 FT,8305,1
1170,1170,S,S,18 FT,8311,2
1170,1170,S,S,18 FT,8313,1
1170,1170,S,S,18 FT,8352,2
1170,1170,S,S,18 FT,400196,4
1170,1170,S,S,32 MA,8150,2
1170,1170,S,S,32 MA,8300,4
1170,1170,E1,E1,18 FT,4002,1
1170,1170,E1,E1,18 FT,6200,5
1170,1170,E1,E1,18 FT,6201,2
1170,1170,E1,E1,18 FT,6202,2
1170,1170,E1,E1,18 FT,6203,1
1170,1170,E1,E1,18 FT,6204,2
1170,1170,E1,E1,18 FT,6206,3
1170,1170,E1,E1,18 FT,6207,2
1170,1170,E1,E1,18 FT,400035,22
1170,1170,E1,E1,32 MA,6200,3
1170,1170,N1,N1,18 FT,5001,1
1170,1170,N1,N1,18 FT,5002,1
1170,1170,N1,N1,18 FT,5004,1
1170,1170,N1,N1_1,18 FT,5152,1
1170,1170,N1,N1_1,18 FT,5153,1
1170,1170,N1,N1_1,18 FT,5155,1
1170,1170,N1,N1_1,18 FT,400126,16
1170,1170,N3,N3,18 FT,5040,1
1170,1170,N3,N3,18 FT,5051,2
1170,1170,N3,N3,18 FT,5104,1
1170,1170,N3,N3,18 FT,5106,1
1170,1170,N3,N3,18 FT,5107,1
1170,1170,N3,N3,18 FT,5111,1
1170,1170,N3,N3,18 FT,5120,3
1170,1170,N3,N3,32 MA,5040,2
1170,1170,N3,N3,32 MA,5120,4
1170,1170,N2,N2,18 FT,5050,1
1170,1170,N2,N2,18 FT,5301,1
1170,1170,N2,N2,18 FT,5307,2
1170,1170,N2,N2,18 FT,5309,1
1170,1170,N2,N2,32 MA,5050,4
1170,1170,E2,E2,18 FT,6000,2
1170,1170,E2,E2,18 FT,6011,1
1170,1170,E2,E2,18 FT,6012,1
1170,1170,E2,E2,18 FT,6053,2
1170,1170,E2,E2,18 FT,6102,1
1170,1170,E2,E2,18 FT,6103,1
1170,1170,E2,E2,18 FT,6104,1
1170,1170,E2,E2,18 FT,6105,1
1170,1170,E2,E2,32 MA,6000,2
1170,1170,E2,E2,32 MA,6053,1
1170,1170,W1,W1_1,18 FT,7002,1
1170,1170,W1,W1_1,18 FT,7003,1
1170,1170,W1,W1_1,32 MA,7000,3
1170,1170,W1,W1,18 FT,7102,5
1170,1170,W1,W1,18 FT,7103,2
1170,1170,W1,W1,18 FT,7105,1
1170,1170,W1,W1,18 FT,7150,2
